"name","bpm","genre","start time","end time","playtime","deck"
"10/25/25","","","10/25/25, 9:04:33 PM CDT","12/7/25, 9:57:05 PM CST","1033:52:32",""
"Let's Get It Started (Intro Clean)","105","Pop","9:04:33 PM CDT","9:10:33 PM CDT","00:06:00","1"
"Take On Me (Intro Clean)","84","Pop","9:10:33 PM CDT","9:25:42 PM CDT","00:15:09","1"
"Royals (Intro Clean)","85","Pop","9:23:52 PM CDT","9:28:26 PM CDT","00:04:34","2"
"Bed Chem (Intro Clean)","95","Pop","9:25:42 PM CDT","9:30:45 PM CDT","00:05:03","1"
"Peaches (Intro Clean)","90","Pop","9:28:26 PM CDT","9:32:38 PM CDT","00:04:12","2"
"Tom's Diner","96","Rock","9:30:45 PM CDT","9:35:28 PM CDT","00:04:43","1"
"About Damn Time (Intro Clean)","109","Pop","9:32:38 PM CDT","9:36:43 PM CDT","00:04:05","2"
"24K Magic (Intro Clean)","107","Pop","9:35:28 PM CDT","9:39:40 PM CDT","00:04:12","1"
"Save A Horse (Ride A Cowboy) (Intro Clean)","102","Country","9:37:34 PM CDT","9:41:56 PM CDT","00:04:22","2"
"House Party (Intro Clean)","104","Country","9:40:32 PM CDT","9:44:03 PM CDT","00:03:31","1"
"Whistle (Intro Clean)","104","Pop","9:41:56 PM CDT","9:46:35 PM CDT","00:04:39","2"
"Bartender (Version Five Funk Remix) Intro - Clean","105","Funk","9:44:03 PM CDT","9:48:37 PM CDT","00:04:34","1"
"Let Me Love You (Intro Clean)","100","Top 40","9:46:35 PM CDT","9:51:29 PM CDT","00:04:54","2"
"Country Girl (Shake It For Me) (Intro Clean)","106","Country","9:48:37 PM CDT","9:54:00 PM CDT","00:05:23","1"
"American Boy (Intro Clean)","118","Top 40","9:53:05 PM CDT","9:57:33 PM CDT","00:04:28","2"
"Cake By The Ocean (Intro Clean)","119","Top 40","9:54:57 PM CDT","9:58:55 PM CDT","00:03:58","1"
"Just Dance (Intro Clean)","120","Pop","9:57:33 PM CDT","10:00:27 PM CDT","00:02:54","2"
"Blurred Lines (Intro Outro) (Clean)","120","Mainstream","9:59:32 PM CDT","10:02:26 PM CDT","00:02:54","1"
"Caroline (Intro Clean)","120","Hip Hop","10:00:27 PM CDT","10:04:43 PM CDT","00:04:16","2"
"Don't Cha (Remix) (Intro Clean)","120","R&B","10:02:39 PM CDT","10:07:25 PM CDT","00:04:46","1"
"Don't Stop The Music (Deville Club Quick HItter) Clean - Beat Out","123","Pop/Dance","10:05:25 PM CDT","10:09:04 PM CDT","00:03:39","2"
"My Humps (Refresh Epic Intro) (Clean Extended)","124","Hip Hop","10:07:25 PM CDT","10:10:28 PM CDT","00:03:03","1"
"Taste (Cosmic Dawn Extended Remix)","121","Dance","10:09:32 PM CDT","10:13:37 PM CDT","00:04:05","2"
"Poison (Sergio Villanueva Remix) (Dirty Extended)","122","House","10:10:28 PM CDT","10:15:25 PM CDT","00:04:57","1"
"Get Busy (Cesar Castilla Disco House Edit) (Clean)","122","Nu Disco","10:13:37 PM CDT","10:19:07 PM CDT","00:05:30","2"
"Temperature (Intro Clean)","125","Dancehall","10:15:25 PM CDT","10:17:50 PM CDT","00:02:25","1"
"Teenage Dream (Deville Club Mix) Clean","125","Pop/Dance","10:17:50 PM CDT","10:21:17 PM CDT","00:03:27","1"
"Right Round (Intro Dirty)","125","Pop","10:19:07 PM CDT","10:23:25 PM CDT","00:04:18","2"
"Work (Jesus Fernandez Remix) (Clean Extended)","124","Tech House","10:22:12 PM CDT","10:24:42 PM CDT","00:02:30","1"
"Sugar (Intro Dirty)","120","Pop","10:23:25 PM CDT","10:27:23 PM CDT","00:03:58","2"
"Down (Intro Dirty)","116","Pop","10:24:42 PM CDT","10:29:11 PM CDT","00:04:29","1"
"TiK ToK","120","Pop","10:27:23 PM CDT","10:30:38 PM CDT","00:03:15","2"
"Pretty Boy Swag (Intro Dirty)","124","Hip Hop","10:29:11 PM CDT","10:32:20 PM CDT","00:03:09","1"
"1, 2 Step","125","Bass House","10:30:38 PM CDT","10:33:13 PM CDT","00:02:35","2"
"Like A G6 (Intro Clean)","125","Pop","10:32:20 PM CDT","10:36:02 PM CDT","00:03:42","1"
"Krazy (Intro Dirty)","125","Hip Hop","10:33:13 PM CDT","10:37:07 PM CDT","00:03:54","2"
"Scream & Shout (Intro Dirty)","130","Pop","10:36:02 PM CDT","10:40:30 PM CDT","00:04:28","1"
"Starships (Deville Jamming House Edit) Clean","126","Pop/Dance","10:38:04 PM CDT","10:42:32 PM CDT","00:04:28","2"
"Sexy And I Know It (Muzik Junkies House Jump Off Edit) (Clean)","126","House","10:40:30 PM CDT","10:43:17 PM CDT","00:02:47","1"
"NOKIA (Club Killers Party Booster) Dirty","128","Hip-Hop/Dance","10:42:32 PM CDT","10:45:10 PM CDT","00:02:38","2"
